,YearKey,CountryKey,EducationKey,QualityOfLifeKey,HealthKey,PopulationKey,QualityOfLife,DevelopmentIndex,HumanDevelopmentIndex,Name,TotalPopulation,Birthrate,Size,GDP,PopulationDensity,"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Public spending on education, total (% of GDP)",PISA: Mean performance on the science scale,PISA: Mean performance on the reading scale,PISA: Mean performance on the mathematics scale,"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",Domestic general government health expenditure (% of GDP),"Hospital beds (per 1,000 people)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Mortality rate, infant (per 1,000 live births)","Stillbirth rate (per 1,000 total births)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Prevalence of HIV, total (% of population ages 15-49)",Prevalence of current tobacco use (% of adults),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population growth (annual %),"Labor force, female (% of total labor force)","Labor force, total",Rural population growth (annual %),Urban population growth (annual %),Rural population (% of total population),Urban population (% of total population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",Age dependency ratio (% of working-age population),Births attended by skilled health staff (% of total)
0,0,32,0,0,0,0,,1.0,4,Canada,0.08277458712711161,0.0024845735413416186,1.0000000000000002,0.042923693953578854,0.0024845735413416186,0.05202183694893048,0.1359238067852917,0.19571705689638452,0.11063416603777321,0.8469490458736697,0.9361973801233301,0.8762996253503079,,0.2459644594847965,0.15165876777251186,0.0,0.5,0.75,0.5,0.673913043478261,0.3715376994840608,0.24165774623690028,0.08816879020727364,,0.23202614379084985,0.12698412698412698,0.43172736273305246,0.4363734679163662,0.41666666666666785,0.46031746031746223,0.49442710655372224,0.714777337274481,0.5915856599608684,0.09155362157595523,0.8224844384353132,0.6946527212114405,0.8125707045567673,0.1874292954432324,0.3323314454593316,0.8615919400130565,0.45736337269142163,0.4567671775792332,0.4508094813537033,0.03046222373649554,0.830188679245282
1,0,128,1,1,1,1,,2.0,3,United States,0.8951828911221926,0.0781039930882534,0.9385120284601124,0.6033501483346076,0.0781039930882534,0.18869075421177373,0.04835079167838874,0.4111436189662253,,0.2534547527708959,0.3798192816537451,0.14934530524040213,0.20004048036702216,0.25451249901129436,0.16745655608214854,0.9404761904761904,0.75,0.625,0.4166666666666661,1.0000000000000002,0.3768458803420619,0.2378252653001891,0.14711796956033957,0.8999999999999999,0.41960784313725463,0.16190476190476177,0.9999999999999998,0.9862563085796683,0.0,0.0,0.0,0.7089650367264173,0.422115244589774,0.9120533937942661,0.70015951064387,0.7196951097392844,0.821349382324992,0.17865061767500734,0.0,0.9185992793992312,0.28951237851075734,0.21473762243969924,0.24159400062762765,0.3121543875591031,0.9433962264150964
2,0,96,2,2,2,2,,2.0,3,United Kingdom,0.16966295781973975,0.6517682583074114,0.021335038218261305,0.1077229860786427,0.6517682583074114,0.325441294123638,0.1916113933554333,0.0947665274260584,0.1535989069922834,0.5335417303063394,0.33800314466980375,0.44580450275799777,0.28518418566995063,0.31994789875714713,0.24960505529225913,0.9404761904761904,0.33333333333333304,0.0,0.33333333333333304,0.6521739130434783,0.8653291092595877,0.4958305250498882,0.6148896086026967,,0.2875816993464051,0.9999999999999998,0.4688845681294955,0.5370854361932227,0.18333333333333535,0.3174603174603181,0.2853321444493968,0.6489097905313482,0.4136387291242176,0.17123528695606074,0.49798634276884823,0.6958395936544657,0.8219376442372959,0.17806235576270435,0.9999971212124024,0.3549102166684861,0.19076204874784847,0.2239176103041129,0.200498119553232,0.4131842885415158,
3,0,80,3,3,3,3,,2.0,3,France,0.17823578317577338,0.2974519796406441,0.05235679780336668,0.09125045624367896,0.2974519796406441,0.27241339443855805,0.21039660706702468,0.020540324255596487,0.26688566468107067,0.22700443996901498,0.2932567106655011,0.444383876660849,0.3065038456348681,0.4745458491827095,0.8025276461295419,0.24999999999999997,0.9166666666666661,0.3125,0.9166666666666661,0.2608695652173913,0.9999999999999999,0.0,0.9999999999999998,,0.7196078431372547,0.8476190476190475,0.8165400260040794,0.42855533525594813,0.6166666666666671,0.26984126984127066,0.48907712884528287,0.6660724965549483,0.6390180806621082,0.15968060925299213,0.6007208520023466,0.7035724918764745,0.9479614462192861,0.052038553780713315,0.9461342724112853,0.008648281085513077,0.8002940415188069,0.5546458585776788,0.6662515171427508,0.5336411408363748,0.6603773584905674
4,0,48,4,4,4,4,,2.0,3,Germany,0.23776113887088055,0.6169400714213036,0.032809055767940624,0.12194081024353891,0.6169400714213036,0.2260399372916,0.1481975438823171,0.23152410242099453,0.11426210710092621,0.5971714498736773,0.4150276264789561,0.6551776405985965,0.424436648225611,0.5851706252981677,1.0,0.9047619047619048,0.75,0.875,0.6666666666666661,0.391304347826087,0.23160210392854175,0.5790350077310391,0.32234711373594965,0.0,0.5209150326797386,0.8838095238095234,0.6402013526892751,0.45009462869502537,0.283333333333335,0.19047619047619158,0.2639322336156926,0.4590157449757579,0.24427133793141387,0.23473757180034432,0.45687840022980836,0.47581420418374437,1.0,0.0,0.9999971212124024,0.42690469158620203,1.0,1.0,1.0,0.3233723338570038,0.7169811320754711
5,0,112,5,5,5,5,,1.0,4,Sweden,0.01114018311856135,0.05105852180385718,0.042170083569231784,0.006034872536246648,0.05105852180385718,0.004755386401158468,0.17279097449640557,0.4304020770965439,0.518671488557882,0.20982596911578355,0.3542567481631842,0.4287952060011069,0.17899068951558572,0.2765205078831634,0.12480252764612954,0.5224867724867724,0.9166666666666661,0.875,0.9166666666666661,0.1956521739130434,0.3961987830992827,0.4035338117326779,0.3264748841049088,,0.7169934640522876,0.0,0.25608054107571,0.3006263518385004,0.45000000000000107,0.5396825396825413,0.5590726705305258,0.5756821696925376,0.7867127761610586,0.011230757132194343,0.6845711493091567,0.5452652596753024,0.6226526087153264,0.37734739128467343,0.5983587682941476,0.2914016316230743,0.5686106093094272,0.5284703907262387,0.5417185155097091,0.5011096950253404,
6,0,0,6,6,6,6,,1.0,4,Australia,0.04621104494225815,0.0,0.7696791948517512,0.02034166828378021,0.0,0.2149154407854179,0.7630284184593421,0.9172151863623904,0.1444910682815712,0.6627977189067948,0.58821498570153,0.6117697584448099,0.32397787073269413,0.003981921445420866,0.27804107424960506,0.9642857142857143,0.4166666666666661,0.75,0.4166666666666661,0.5869565217391304,0.31873875177521216,0.21735453091754886,0.1843314070404944,0.0,0.1071895424836602,0.6552380952380952,0.3257786313265658,0.22219718817591927,0.533333333333335,0.5555555555555554,0.6130182790904879,0.8106510690154564,0.14883568409409342,0.04696635437605242,0.820737012142477,0.8050474772045785,0.6107516177202587,0.38924838227974057,0.80646206687004,1.0,0.30445966272077213,0.19141542854499133,0.23536738616241398,0.2509610086611107,0.9433962264150964
7,0,64,7,7,7,7,,2.0,3,Denmark,0.0,0.33001898946820907,0.0012623890637686302,0.0,0.33001898946820907,0.09345238370506559,0.4496556377934131,0.4073428566638603,0.8888829144994426,0.2588425212671748,0.319622065729833,0.6576461220552705,0.8627715557954394,0.5314806182581231,0.2717219589257504,,0.5,0.8125,0.5,0.45652173913043487,0.22986615987258474,0.22595778984789017,0.3015812535721089,0.0,0.26274509803921575,0.6952380952380948,0.632280844059022,0.7104812545061283,0.016666666666669272,0.0952380952380949,0.06509139545251585,0.5438894066424945,0.624611362450711,0.00023824020991021835,0.23869222554877945,0.5824666696343204,0.5531019503144937,0.44689804968550595,0.9999980808082682,0.7068103382572275,0.3116882846227544,0.13670757691335694,0.21046075021936722,0.39667587657331094,0.830188679245282
8,0,16,8,8,8,8,,2.0,3,Belgium,0.015611651440298382,0.9061156688513026,0.0,0.005720865441800241,0.9061156688513026,0.14590661259070448,0.9441216310439362,0.12571082581753423,0.35209658031537683,0.396952085863278,0.4129374470257119,0.7565970662333417,0.28531912022668937,0.3301332914084292,0.679304897314376,0.75,0.8333333333333321,0.375,0.8333333333333321,0.41304347826086957,0.4735848647646924,0.17001678362341255,0.1997205816981012,,0.395424836601307,0.8552380952380954,0.6701537580666324,0.550446106705119,0.3000000000000025,0.19047619047619158,0.2728488631297381,0.6140275483477773,0.0,0.010854011857369311,0.3104400093151156,0.5800056201854915,0.03058961943979277,0.9694103805602063,0.999997644628337,0.6234981380609668,0.8301886101838745,0.5289666302825615,0.6600248432752953,0.4668610053687243,
9,1,33,9,9,9,9,,,5,Canada,0.08378494403760883,0.002580935969359206,1.0000000000000002,0.0498280298256842,0.002580935969359206,0.09796937647695358,0.14058047807113927,0.19571705689638452,0.15057117709346124,1.0,1.0,1.0,,0.2143193930774181,0.1390205371248025,0.0,0.6666666666666661,0.6875,0.6666666666666661,0.673913043478261,0.39718483482224765,0.2518204284449379,0.0,,0.23202614379084985,0.12698412698412698,0.40163181563346173,0.4083453496755587,0.43333333333333535,0.4920634920634921,0.5220686580472531,0.731602782337281,0.6451783618817064,0.09283077821070074,0.8208803022133697,0.7165307471627502,0.8084528711706411,0.1915471288293582,0.33230994178830997,0.8207619525530134,0.4115412638020914,0.3953603583433973,0.3960149535367839,0.016452255646958847,0.830188679245282
