HealthKey,Domestic general government health expenditure (% of GDP),"Hospital beds (per 1,000 people)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Mortality rate, infant (per 1,000 live births)","Stillbirth rate (per 1,000 total births)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of current tobacco use (% of adults),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)"
53,7.78026438,6.12,97,98,95,98,3.6,3.083610669,10.0931,2.9085,,,27,11.4,102.029,59.259
54,7.30276871,2.8,70,87,88,87,4.9,2.915602009,9.2368,,8.4,,,,82.896,52.681
55,7.92789316,2.97,91,96,92,94,6.1,2.965430265,,,9.4,0.5,,,132.138,77.926
56,8.06530571,2.88,,95,90,95,4.3,3.661666151,10.1724,5.3144,5.2,,,,87.285,55.743
57,7.85247898,6.36,74,99,89,99,3.1,4.414669728,9.286,6.3244,5.4,,,,112.591,52.553
58,8.12801647,8.38,87,95,97,94,3.4,2.28624728,13.79,3.8491,5.3,0.1,,,98.648,52.91
59,8.80000973,2.7,29,98,97,98,2.5,2.896740189,11.5933,3.8813,4.2,,,,70.821,43.573
60,6.25755644,3.79,92,92,94,92,3.8,2.736434232,10.8124,3.2878,6.6,0.1,,,78.281,46.069
61,8.48921585,3.13,,91,87,91,3.4,2.083078307,10.1437,3.7808,5.6,0.1,,,97.155,59.047
62,7.9088397,6.05,97,98,95,98,3.6,3.134391355,10.3901,2.9219,4.8,,,,100.338,59.442
63,7.4011817,2.79,70,91,89,91,4.9,2.886789648,9.3473,2.3962,,,22.6,,82.45,52.471
64,7.90049934,2.93,90,94,91,93,6,2.972029934,,,,0.5,27.2,,131.355,77.717
65,8.05242443,2.81,,95,92,95,4.1,3.501321465,9.8189,5.3284,,,23.7,,83.932,54.362
66,7.94105148,6.34,78,99,91,99,3.1,4.347037634,9.688,6.349,,,34.5,,109.097,51.592
67,8.18807316,8.34,87,95,97,94,3.4,2.299800674,13.9183,3.9197,,0.1,29.7,,95.548,51.099
68,9.0407753,2.66,30,98,98,98,2.4,2.89500548,11.6336,3.9579,,,35.1,,68.068,43.703
69,6.18006754,3.75,91,92,94,92,3.6,2.672917159,10.1433,3.2858,,0.1,19.3,,75.68,44.403
70,8.600667,,,94,90,94,3.5,2.056659072,10.2296,3.8243,,0.1,23.4,,92.572,57.616
71,8.04331493,5.99,98,99,96,99,3.5,3.123925602,10.626,2.9393,,,26.5,,98.967,57.003
72,7.3582077,2.72,55,91,90,91,4.8,2.87091403,9.4788,2.4509,,,,,81.269,51.026
73,7.94619036,2.89,91,94,92,93,6,2.979816812,,,,0.5,,,131.269,78.093
74,7.97009706,2.76,,95,93,95,4,3.334625258,9.7978,5.3546,,,,,85.193,53.891
75,8.04127502,6.28,82,99,90,99,3.1,4.17958823,9.9817,6.3897,,,,,105.322,50.507
76,8.40567684,8.28,87,93,97,93,3.3,2.325072966,14.3395,4.0087,,0.1,,,94.684,51.743
77,9.1623106,2.59,35,98,97,98,2.4,2.897419805,11.6651,4.0359,,,,,67.302,43.703
78,5.93705511,3.74,91,91,94,91,3.5,2.566566618,11.9398,3.353,,0.1,,,75.444,44.986
79,8.56900883,3.07,,94,89,94,3.5,2.052675694,10.2323,3.8335,,0.1,,,90.145,54.62
80,8.03870392,5.93,98,99,96,99,3.4,3.076383465,10.9082,2.9585,,,,,94.257,57.458
81,7.23180246,2.67,55,91,90,91,4.7,2.882468529,9.7475,2.4961,,,20.7,,81.528,51.45
82,8.23888111,2.83,92,95,92,93,5.9,3.001325827,,,,0.5,26.4,,131.889,79.382
83,7.96156025,2.73,,95,93,95,3.9,3.166757362,9.776,5.4258,,,22,,83.909,53.642
84,8.13847065,6.2,83,98,91,98,3.1,4.191454987,10.2792,6.423,,,34.6,,100.472,49.309
85,8.48952866,8.23,87,93,97,93,3.3,2.367539098,12.7562,4.0846,,0.1,29.1,,91.119,49.597
86,9.19936943,2.54,42,97,97,97,2.4,2.896625661,11.6824,4.1105,,,32.9,,66.376,42.586
87,6.10049677,3.79,91,92,94,92,3.4,2.444711047,12.1107,3.4314,,0.1,18.2,,76.85,44.801
