YearKey,Year,IsLeapYear
0,2005,False
1,2006,False
2,2007,False
3,2008,True
4,2009,False
5,2010,False
6,2011,False
7,2012,True
8,2013,False
9,2014,False
10,2015,False
11,2016,True
12,2017,False
13,2018,False
14,2019,False
15,2020,True
