EducationKey,"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","Literacy rate, adult total (% of people ages 15 and above)",PISA: Mean performance on the mathematics scale,"Literacy rate, adult female (% of females ages 15 and above)","Public spending on education, total (% of GDP)",PISA: Mean performance on the reading scale,PISA: Mean performance on the science scale,"School enrollment, tertiary (% gross)","Literacy rate, adult male (% of males ages 15 and above)"
85,1.00711,100.538642883301,99.7107162475586,..,..,..,4.92102003097534,..,..,65.50390625,..
86,0.99876,120.858108520508,132.942123413086,..,..,..,7.57372999191284,..,..,62.180591583252,..
87,0.99759,105.457092285156,..,..,..,..,5.16477012634277,..,..,..,..
88,1.04753,101.294227600098,129.328170776367,..,..,..,7.634850025177,..,..,81.0290832519531,..
89,0.99307,103.648063659668,162.299346923828,..,..,..,6.59046983718872,..,..,72.9973983764648,..
90,..,102.485076904297,110.35652923584,..,515.6474,..,..,526.6678,527.7047,64.7869567871094,..
91,0.9825,100.299911499023,97.6525497436523,..,469.6285,..,..,496.9351,496.2424,88.8894119262695,..
92,0.96102,101.925270080566,124.524002075195,..,492.4785,..,5.55305004119873,497.9719,509.2215,56.4584884643555,..
93,1.00524,101.989639282227,103.396041870117,..,492.9204,..,..,499.3061,494.9776,62.7859306335449,..
94,1.00416,101.667449951172,98.822639465332,..,505.9713,..,4.85515022277832,509.1041,509.1406,67.7468719482422,..
95,0.99665,122.937446594238,140.436767578125,..,493.9181,..,7.4439001083374,500.1556,493.4224,62.2824783325195,..
96,0.99727,101.599906921387,157.167663574219,..,493.8962,..,5.31127023696899,502.9006,509.9939,118.610862731934,..
97,1.03412,101.456443786621,130.251861572266,..,511.0876,..,..,499.8146,501.9369,82.1294937133789,..
98,0.99893,103.155807495117,163.934722900391,..,506.9844,..,6.4515700340271,498.5242,501.9997,74.5597610473633,..
99,..,101.023872375488,112.514282226563,..,..,..,..,..,..,66.4391784667969,..
100,1.02073,101.362861633301,98.7699279785156,..,..,..,..,..,..,88.8350524902344,..
101,0.99714,101.33521270752,..,..,..,..,5.41894006729126,..,..,58.4256210327148,..
102,0.99894,102.260429382324,103.308097839355,..,..,..,..,..,..,64.7276763916016,..
103,1.00665,102.677558898926,98.8119964599609,..,..,..,4.83923006057739,..,..,69.5805892944336,..
104,1.00302,124.851051330566,144.90934753418,..,..,..,7.61861991882324,..,..,63.5480194091797,..
105,0.98592,100.744407653809,153.013198852539,..,..,..,5.276780128479,..,..,120.965713500977,..
106,1.01273,101.804832458496,129.119491577148,..,..,..,..,..,..,81.0567474365234,..
107,1.00115,103.317771911621,161.033157348633,..,..,..,6.46173000335693,..,..,75.8906402587891,..
108,..,100.94367980957,113.76286315918,..,..,..,..,..,..,68.9225082397461,..
109,..,101.821441650391,98.9523391723633,..,..,..,..,..,..,88.1673889160156,..
110,0.99862,101.154556274414,125.851867675781,..,..,..,5.44418001174927,..,..,59.9955711364746,..
111,0.99744,102.417221069336,103.756080627441,..,..,..,5.45160007476807,..,..,65.8022308349609,..
112,1.0037,104.022361755371,98.4092788696289,..,..,..,4.88274002075195,..,..,70.2466506958008,..
113,1.00249,126.575378417969,152.860687255859,..,..,..,7.56883001327515,..,..,66.9882431030273,..
114,0.99327,100.338981628418,150.311477661133,..,..,..,5.12790012359619,..,..,113.142158508301,..
115,1.02379,101.268089294434,129.077484130859,..,..,..,7.75243997573853,..,..,80.6160202026367,..
116,1.00146,103.905570983887,158.541854858398,..,..,..,6.42534017562866,..,..,79.6617279052734,..
117,..,101.501091003418,114.123512268066,..,512.016942823931,..,..,520.085520926521,517.99766075567,70.1130218505859,..
118,1.03804,101.256561279297,99.2755813598633,..,478.244717377205,..,..,505.352771050068,502.380032000921,88.2991790771484,..
119,0.99999,100.995552062988,120.783576965332,..,501.76989911392,..,5.23890018463135,503.928109206045,504.667473533585,61.3828887939453,..
120,1.00399,102.464408874512,103.773330688477,..,495.407581444032,..,5.41316986083984,492.606481334553,492.977076058355,67.5435180664063,..
121,1.00335,103.894561767578,97.5934982299805,..,500.043780166766,..,4.99274015426636,498.279256429592,502.9889028235,70.342643737793,..
122,1.00082,128.643539428711,151.704544067383,..,502.387702056848,..,7.64084005355835,505.785220598165,499.444690059301,72.4611663818359,..
123,0.99213,100.160591125488,132.772888183594,..,491.360025242637,..,5.10789012908936,502.63172442266,502.964562882438,107.808052062988,..
124,0.99557,100.523910522461,129.745544433594,..,509.398374502504,..,..,501.129933774048,492.637033350974,81.183349609375,..
125,1.01384,103.350700378418,155.961074829102,..,508.070306356471,..,6.37663984298706,492.864438603842,498.77312723922,78.9011688232422,..
126,..,100.989753723145,114.333267211914,..,..,..,..,..,..,75.6988220214844,..
127,..,100.981300354004,100.063430786133,..,..,..,..,..,..,87.8887100219727,..
128,..,100.49146270752,118.736289978027,..,..,..,..,..,..,65.7733612060547,..
129,..,102.539482116699,104.292991638184,..,..,..,..,..,..,68.3579025268555,..
130,..,102.516181945801,97.5406036376953,..,..,..,..,..,..,73.5210571289063,..
131,..,126.164131164551,146.246322631836,..,..,..,..,..,..,77.3291091918945,..
132,..,99.7271499633789,140.646041870117,..,..,..,..,..,..,115.952041625977,..
133,..,100.267669677734,129.885025024414,..,..,..,..,..,..,81.8397598266602,..
134,..,102.619506835938,156.080612182617,..,..,..,..,..,..,80.1381683349609,..
135,..,..,..,..,..,..,..,..,..,..,..
136,..,..,..,..,..,..,..,..,..,..,..
137,..,..,..,..,..,..,..,..,..,..,..
138,..,..,..,..,..,..,..,..,..,..,..
139,..,..,..,..,..,..,..,..,..,..,..
140,..,..,..,..,..,..,..,..,..,..,..
141,..,..,..,..,..,..,..,..,..,..,..
142,..,..,..,..,..,..,..,..,..,..,..
143,..,..,..,..,..,..,..,..,..,..,..
