QualityOfLifeKey,People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",Pregnant women receiving prenatal care (%),Age dependency ratio (% of working-age population),Births attended by skilled health staff (% of total),"Community health workers (per 1,000 people)",Consumption of iodized salt (% of households)
82,99.35588121,99.78386084,,6.061999798,6.262000084,6.170000076,,50.79303992,98.5,,
83,99.99999851,99.11370311,,5.821000099,6.361000061,6.110000134,,54.46384637,,,
84,100,98.65238469,,10.02499962,10.53499985,10.28999996,,58.38099164,98.3,,
85,100,99.22482335,,4.631999969,5.282000065,4.980000019,,52.24468346,98.6,,
86,99.75824575,99.24592852,,7.688000202,8.187999725,7.949999809,,57.41853124,,,
87,99.9614791,99.99115238,,6.171999931,6.001999855,6.079999924,,50.25970006,99.7,,
88,99.99999892,99.59723021,,7.146999836,6.736999989,6.929999828,,55.28684787,95.9,,
89,99.99999728,99.48613062,,7.938000202,9.017999649,8.520000458,,53.73738812,,,
90,99.22922139,99.25507123,,6.291999817,7.461999893,6.909999847,,47.15645579,97.9,,
91,99.44715776,99.7655241,,5.177999973,5.367000103,5.28000021,,51.20955055,99.1,,
92,100.0000015,99.1125619,,5.124000072,5.453999996,5.300000191,,55.11102766,,,
93,100,98.65159618,,9.904000282,10.76299953,10.35000038,,59.32072593,97.7,,
94,100.0000024,99.2248559,,4.218999863,4.968999863,4.619999886,,52.52163128,98.8,,
95,99.78123103,99.26713116,,7.289000034,7.559000015,7.429999828,,58.48568901,,,
96,99.97000567,99.99115238,,6.065999985,6.035999775,6.050000191,,50.92505621,99.7,,
97,99.99999785,99.59722868,,6.53000021,6.059999943,6.28000021,,55.98335953,95.4,,
98,99.9999977,99.48613596,,7.769000053,9.088999748,8.479999542,,54.19360574,,,
99,99.22739547,99.19947682,,6.241000175,7.681000233,7,,47.82631443,97.8,,
100,99.53713865,99.74755356,,4.789000034,4.93900013,4.869999886,,51.64616731,99.1,,
101,100.0000015,99.1114221,,4.68200016,4.921999931,4.809999943,,55.63735853,,,
102,100,98.65080463,,9.852999687,10.2329998,10.05000019,,60.07595511,97.4,,
103,99.99999762,99.22492357,,3.740999937,4.451000214,4.119999886,,52.91457287,97.8,,
104,99.80376396,99.27900746,,6.586999893,7.356999874,6.989999771,,59.30803456,,,
105,99.96997302,99.99115238,,5.78000021,5.650000095,5.710000038,,51.72993235,97,,
106,99.99999893,99.59722928,,6.381000042,5.640999794,5.989999771,,56.29815239,94.4,,
107,100.0000013,99.4861443,,7.559999943,8.06000042,7.829999924,,54.77135163,,,
108,99.22553764,99.14388406,,5.850999832,6.781000137,6.340000153,,48.61607607,97.9,,
109,99.62581578,99.72996764,,4.311999798,4.40199995,4.360000134,,52.15580602,99.1,,
110,100.0000015,99.11029545,,4.218999863,4.427999973,4.329999924,,56.06989604,,,
111,100,98.65001007,,9.373999596,9.444000244,9.409999847,,60.71698565,98,,
112,99.99999764,99.22503522,,3.316999912,4.129000187,3.75,,53.42641775,98.8,,
113,99.82585352,99.28966239,,6.441999912,6.97300005,6.71999979,,59.965652,,,
114,99.9699336,99.99115238,,5.670000076,5.519999981,5.590000153,,52.5996706,96.7,,
115,100.0000011,99.59723094,,6.046000004,5.637000084,5.829999924,,56.61999565,94.7,,
116,99.9999984,99.4861459,,7.058000088,7.118000031,7.090000153,,55.3290794,,,
117,99.22363119,99.08828896,,5.488999844,6.138999939,5.829999924,,49.48187729,98,,
118,99.71312112,99.71277377,,3.84100008,3.950999975,3.900000095,,52.71067711,99.1,,
119,100.0000015,99.10917758,,3.941999912,4.052000046,4,,56.43074619,,,
120,100,98.64921248,,9.06099987,8.980999947,9.020000458,,61.26714454,98.1,,
121,99.99999765,99.2251891,,2.910000086,3.789999962,3.380000114,,54.04283612,,,
122,99.82620051,99.28848273,,6.235000134,6.473999977,6.360000134,,60.45520697,,,
123,99.96989482,99.99115238,,5.321000099,5.281000137,5.300000191,,53.48508824,,,
124,99.99999788,99.59722729,,5.347000122,4.936999798,5.130000114,,56.91495672,95.3,,
125,99.99999814,99.48614999,,5.565000057,6.285999775,5.949999809,,55.87046567,,,
126,99.22164984,99.03268117,,5.25,6.03000021,5.659999847,,50.36191603,,,
127,99.79904438,99.69599445,,3.611000061,3.720999956,3.670000076,,53.27766617,,,
128,99.99999711,99.10805979,,3.53399992,3.924000025,3.74000001,,56.75061197,,,
129,100.000003,98.64841485,,8.347999573,8.468000412,8.409999847,,61.79535465,,,
